event_date,singups,paidmedia_offline_spend,paidmedia_online_spend,holiday
2015-04-20,6565,,220617.7,
2015-04-21,8136,,280898.15,
2015-04-22,7837,,252854.3,
2015-04-23,8378,,270135.03,
2015-04-24,8551,,276527.1,
2015-04-25,7654,,251773.61,
2015-04-26,6771,,243819.27,
2015-04-27,8285,,467135.4,
2015-04-28,8111,,470225.83,
2015-04-29,7658,,319329.1,
2015-04-30,7825,,231843.6,
2015-05-01,8382,,271194.77,
2015-05-02,6697,,212715.16,
2015-05-03,5989,,202096.53,
2015-05-04,7514,,275271.31,
2015-05-05,7171,,261651.99,
2015-05-06,7246,,233168.65,
2015-05-07,7674,,240108,
2015-05-08,7904,,239899.46,
2015-05-09,6913,,179390.04,
2015-05-10,6150,,151847.08,USMothersDay
2015-05-11,5402,,208783.11,
2015-05-12,5516,,201992.23,
2015-05-13,6153,,214528.96,
2015-05-14,6071,,172592.01,Ascension
2015-05-15,6781,,162034.49,FridayAfterAscension
2015-05-16,5942,,116473.97,
2015-05-17,5019,,136748.68,
2015-05-18,5436,,190069.29,
2015-05-19,5666,,237164.69,
2015-05-20,6157,,233756.82,
2015-05-21,5914,,224557.13,
2015-05-22,6941,,205413.9,
2015-05-23,6076,,164849.37,
2015-05-24,5415,,156497.69,Pentecost
2015-05-25,5913,,194706.1,PentecostMonday
2015-05-26,5693,,238960.14,
2015-05-27,6238,,232418.8,
2015-05-28,6799,,231184.71,
2015-05-29,6825,,216063.62,
2015-05-30,6320,,187980.11,
2015-05-31,5854,,199631.51,
2015-06-01,6699,,273883.28,
2015-06-02,7361,,283577.09,
2015-06-03,7040,,258185.15,
2015-06-04,7111,,217617.6,
2015-06-05,7401,,220660.33,
2015-06-06,6555,,153422.32,
2015-06-07,5670,,181100.04,
2015-06-08,6675,,280394.85,
2015-06-09,7055,,304808.62,
2015-06-10,6943,,258756.39,
2015-06-11,10784,,237012.68,
2015-06-12,17706,,270134.31,LovingDay
2015-06-13,6610,,224177.02,
2015-06-14,6043,,254676.72,
2015-06-15,6846,,316681.35,
2015-06-16,7185,,335215.01,
2015-06-17,8175,,377275.49,
2015-06-18,8957,,446581.67,
2015-06-19,9510,,449386.31,
2015-06-20,8006,,368865.79,
2015-06-21,6670,,341457.24,FathersDay
2015-06-22,10265,,431711.01,
2015-06-23,9752,,432260.33,StJohnsEve
2015-06-24,9960,,362217.59,StJohnsDay
2015-06-25,7643,,355973.91,
2015-06-26,8087,,330692.14,
2015-06-27,7146,,278991.71,
2015-06-28,6582,,278886.43,
2015-06-29,7468,,364170.02,
2015-06-30,7983,,368372.7,
2015-07-01,7360,,325985.55,
2015-07-02,7346,,307823.22,
2015-07-03,7090,,277803.98,
2015-07-04,4926,,220124.59,
2015-07-05,4985,,232811.29,
2015-07-06,6506,,330682.66,
2015-07-07,6228,,335576.33,
2015-07-08,6703,,323547.78,
2015-07-09,7528,,333421.47,
2015-07-10,8429,,328520.47,
2015-07-11,7076,,276900.85,
2015-07-12,6391,,267096.8,
2015-07-13,6618,,317113.29,
2015-07-14,6500,,269016.23,
2015-07-15,7434,,331959.54,
2015-07-16,7983,,339626.59,
2015-07-17,8447,,404057.97,
2015-07-18,6836,,298796.1,
2015-07-19,5892,,264331.94,
2015-07-20,6918,,364741.7,
2015-07-21,8174,,400710.06,
2015-07-22,7575,,379554.05,
2015-07-23,6767,,347547.2,
2015-07-24,7834,,348321.84,
2015-07-25,7032,,309027.65,
2015-07-26,6289,,290380.8,
2015-07-27,6911,,404118.59,
2015-07-28,6620,,379225.95,
2015-07-29,6572,,354867.25,
2015-07-30,6738,,346922.83,
2015-07-31,7861,,307286.67,
2015-08-01,6722,,263882.87,
2015-08-02,5595,,242680.03,
2015-08-03,6393,,322531.69,
2015-08-04,6504,,326099.64,
2015-08-05,7291,,351806.13,
2015-08-06,7566,,354882.06,
2015-08-07,7286,,313262.08,
2015-08-08,6216,,229143.12,
2015-08-09,5303,,212589.27,
2015-08-10,5954,,286034.7,
2015-08-11,7063,,307769.45,
2015-08-12,7301,,308306.28,
2015-08-13,7426,,308623.03,
2015-08-14,7890,,299988.54,
2015-08-15,7031,,244838.81,
2015-08-16,6227,,227550.64,
2015-08-17,7128,,334383.59,
2015-08-18,7247,,336616.05,
2015-08-19,7457,,311093.03,
2015-08-20,6708,,277692.08,
2015-08-21,6866,,239187.85,
2015-08-22,6312,,193197.5,
2015-08-23,5534,,177337.31,
2015-08-24,6281,,250875.39,
2015-08-25,6499,,294282.38,
2015-08-26,6087,,273960.27,
2015-08-27,5619,,238249.08,
2015-08-28,6040,,236800.09,
2015-08-29,5929,,205869.12,
2015-08-30,5325,,196848.61,
2015-08-31,5447,,256218.56,
2015-09-01,5466,,248441.44,
2015-09-02,5961,,264504.33,
2015-09-03,6287,,263163.68,
2015-09-04,6703,,254333.43,
2015-09-05,6090,,212659.44,
2015-09-06,5409,,193991.33,
2015-09-07,5547,,222418.34,
2015-09-08,5063,,252934.79,BirthOfVirginMary
2015-09-09,5611,,266471.34,
2015-09-10,6304,,271153.69,
2015-09-11,6637,,269140.44,
2015-09-12,6561,,258022.06,
2015-09-13,5427,,229250.55,
2015-09-14,6492,,340211.72,
2015-09-15,7113,,382386.99,
2015-09-16,6495,,258053.94,
2015-09-17,5945,,346478.96,
2015-09-18,6541,,300895.22,
2015-09-19,6371,,267234.47,
2015-09-20,5700,,240668.23,
2015-09-21,5735,,315665.37,
2015-09-22,5606,,305700.2,
2015-09-23,6098,,319406.23,
2015-09-24,6061,,310345.57,
2015-09-25,6690,,322669.2,
2015-09-26,5851,,247208.58,
2015-09-27,5191,,330603.14,
2015-09-28,5708,,332392.26,
2015-09-29,6000,,338422.52,
2015-09-30,5768,,313249.25,
2015-10-01,5477,,286322.19,
2015-10-02,6020,,284679.02,
2015-10-03,6341,,274711.84,
2015-10-04,5798,,257355.67,DE_ThanksGivingDay
2015-10-05,5489,,312277.66,
2015-10-06,5337,,310608.83,
2015-10-07,5351,,309277.2,
2015-10-08,5813,,349918.59,
2015-10-09,7299,,390678.2,
2015-10-10,6679,,313370.07,
2015-10-11,5377,,278902.97,
2015-10-12,5696,,355573.15,
2015-10-13,5311,,411804,
2015-10-14,5745,,388177.4,
2015-10-15,6406,,347982.97,
2015-10-16,7247,,391295.95,
2015-10-17,5968,,285851.23,
2015-10-18,5173,,272513.75,
2015-10-19,5350,,363918.45,
2015-10-20,5342,,365078.52,
2015-10-21,5883,,346322.24,
2015-10-22,6590,,365647.73,
2015-10-23,7252,,366415.09,
2015-10-24,6593,,343087.38,
2015-10-25,5654,,302782.57,
2015-10-26,5903,,426208.06,
2015-10-27,6443,,428585.82,
2015-10-28,7016,,416037.64,
2015-10-29,6867,,420270.83,
2015-10-30,7253,,394742.22,
2015-10-31,6569,,326022.15,
2015-11-01,6169,,368384.81,AllSaintsDay
2015-11-02,7001,,515279.04,AllSoulsDay
2015-11-03,7596,,499347.92,
2015-11-04,7351,,491392.57,
2015-11-05,7507,,505934.57,
2015-11-06,8053,,476230.68,
2015-11-07,8182,,502426.32,
2015-11-08,7094,,512921.42,
2015-11-09,11657,,625090.52,
2015-11-10,15448,,576647.41,
2015-11-11,12189,,549384.48,
2015-11-12,7717,,531654.72,
2015-11-13,8421,,526712.64,
2015-11-14,7802,,477940.82,
2015-11-15,6728,,463679.97,
2015-11-16,7340,,597307.75,
2015-11-17,7699,,605752.14,
2015-11-18,7770,,546118.82,
2015-11-19,7602,,521141.9,
2015-11-20,7855,,556492.16,
2015-11-21,7964,,618015.37,
2015-11-22,7685,,553071.69,
2015-11-23,7561,,587899.54,
2015-11-24,7000,,575041.22,
2015-11-25,7601,,581208.4,
2015-11-26,6574,,471258.13,US_ThanksGivingDay
2015-11-27,13975,,861588.98,BlackFriday
2015-11-28,13349,,902950.19,
2015-11-29,11572,,702214.37,Advent1
2015-11-30,17637,,933078.02,CyberMonday
2015-12-01,14793,,702878.88,
2015-12-02,11205,,687867.09,
2015-12-03,9650,,611227.28,
2015-12-04,9682,,509052.84,
2015-12-05,8552,,471139.16,
2015-12-06,8075,,484186.78,Advent2
2015-12-07,9552,,595157.81,
2015-12-08,9285,,588277.16,
2015-12-09,8818,,536304.68,
2015-12-10,9432,,543776.83,
2015-12-11,9713,,545894.74,
2015-12-12,9018,,442990.44,
2015-12-13,8007,,450725.65,Advent3
2015-12-14,9218,,571609.82,
2015-12-15,8849,,509307.79,
2015-12-16,8323,,456147.56,
2015-12-17,8521,,442040.59,
2015-12-18,9160,,462529.13,
2015-12-19,8023,,408193.18,
2015-12-20,6906,,391015.66,Advent4
2015-12-21,8179,,499183.25,
2015-12-22,8275,,467311.39,
2015-12-23,8103,,441863.32,
2015-12-24,8172,,360476.45,ChristmasEve
2015-12-25,5426,,286668.5,ChristmasDay
2015-12-26,6662,,425155.3,BoxingDay
2015-12-27,6324,,418459.24,
2015-12-28,10527,,516770.07,
2015-12-29,10889,,467303.66,
2015-12-30,7408,,398889.21,
2015-12-31,5725,,315745.93,
2016-01-01,4682,,321970.75,NewYearsDay
2016-01-02,6580,,390904.32,
2016-01-03,5668,,359639.39,
2016-01-04,5617,,429113.55,
2016-01-05,5806,,458539.17,
2016-01-06,6330,,457015.83,Epiphany
2016-01-07,6307,,442838.38,
2016-01-08,6997,,611092.33,
2016-01-09,6539,,483705.68,
2016-01-10,5920,,474477.41,
2016-01-11,6071,,555259.35,
2016-01-12,6151,,518805.07,
2016-01-13,6338,,532251.09,
2016-01-14,6211,,539648.95,
2016-01-15,7269,,515450.85,
2016-01-16,7231,,452574.08,
2016-01-17,6423,,475472.44,
2016-01-18,6566,,541624.25,
2016-01-19,5842,,557568.77,
2016-01-20,6681,,610400.74,
2016-01-21,7590,,639920.02,
2016-01-22,8660,,637258.48,
2016-01-23,7611,,613940.18,
2016-01-24,6558,,584145.49,
2016-01-25,6785,,654081.77,
2016-01-26,6869,,655782.43,
2016-01-27,7605,,695724.63,
2016-01-28,7693,,626853.21,
2016-01-29,8444,,635532.39,
2016-01-30,7882,,602778.86,
2016-01-31,6939,,594157.2,
2016-02-01,6892,,680440.3,
2016-02-02,6542,,639746.38,
2016-02-03,8528,,598896.83,
2016-02-04,8508,,648881.15,
2016-02-05,9025,,630022.23,
2016-02-06,8054,,519432.89,
2016-02-07,6417,,482380.75,
2016-02-08,6965,,560739.32,
2016-02-09,8897,,615433.82,
2016-02-10,9331,,675007.04,
2016-02-11,10671,,696957.8,
2016-02-12,12143,,682149.77,
2016-02-13,11805,,655420.02,
2016-02-14,9788,,634100.12,ValentinesDay
2016-02-15,8900,,688258.56,
2016-02-16,9290,,761592.2,
2016-02-17,10423,,712706.14,
2016-02-18,10887,,734175.68,
2016-02-19,10579,,677422.75,
2016-02-20,8738,,561938.96,
2016-02-21,7663,,528080.15,
2016-02-22,8441,,590761.33,
2016-02-23,8841,,625122.87,
2016-02-24,9773,,671891.71,
2016-02-25,9495,,649451.23,
2016-02-26,10199,,599369.01,
2016-02-27,9991,,558620.32,
2016-02-28,8940,,568529.51,
